title,url
KPSS ÖABT sınav soruları ve cevapları erişime açıldı,https://www.trthaber.comhttps://www.trthaber.com/haber/egitim/kpss-oabt-sinav-sorulari-ve-cevaplari-erisime-acildi-871587.html
Devlet korumasındaki 4 genç YKS'de ilk on bine girdi,https://www.trthaber.comhttps://www.trthaber.com/haber/egitim/devlet-korumasindaki-4-genc-yksde-ilk-on-bine-girdi-871554.html
Uluslararası Bilim Olimpiyatları'na Türkiye damga vurdu,https://www.trthaber.comhttps://www.trthaber.com/haber/egitim/uluslararasi-bilim-olimpiyatlarina-turkiye-damga-vurdu-871529.html
Sanılanın aksine çocuklar kuralları sever,https://www.trthaber.comhttps://www.trthaber.com/haber/cocuk/sanilanin-aksine-cocuklar-kurallari-sever-870791.html
Tablet tehlikesi: Çocuklarda omurga eğriliği 2 kat arttı,https://www.trthaber.comhttps://www.trthaber.com/haber/cocuk/tablet-tehlikesi-cocuklarda-omurga-egriligi-2-kat-artti-869224.html
Çocukların yaratıcılığında ebeveynlerin rolü ne?,https://www.trthaber.comhttps://www.trthaber.com/haber/cocuk/cocuklarin-yaraticiliginda-ebeveynlerin-rolu-ne-868676.html
Keşfettiği türe eşinin ismini verdi: Çiğdem sözcüğü literatüre ilk kez Türkçe girdi,https://www.trthaber.comhttps://www.trthaber.com/haber/cevre/kesfettigi-ture-esinin-ismini-verdi-cigdem-sozcugu-literature-ilk-kez-turkce-girdi-871792.html
Avlanma süreleri balıkçılığı sürdürülebilirlikten uzaklaştırıyor,https://www.trthaber.comhttps://www.trthaber.com/haber/cevre/avlanma-sureleri-balikciligi-surdurulebilirlikten-uzaklastiriyor-870591.html
Sıcaklık arttıkça barajlar buharlaşıyor,https://www.trthaber.comhttps://www.trthaber.com/haber/cevre/artan-sicaklik-barajlari-buharlastiriyor-870584.html
07:17Adıyaman'da suda mahsur kalan 16 kişi kurtarıldı,https://www.trthaber.comhttps://www.trthaber.com/haber/turkiye/adiyamanda-suda-mahsur-kalan-16-kisi-kurtarildi-872293.html
06:24İngiltere'de yalan haber başlattığı iddiasıyla bir kişi gözaltına alındı,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/ingilterede-yalan-haber-baslattigi-iddiasiyla-bir-kisi-gozaltina-alindi-872292.html
06:21Trump: Fed kararlarında ABD başkanı söz sahibi olmalı,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/trump-fed-kararlarinda-abd-baskani-soz-sahibi-olmali-872291.html
06:05Elazığ'daki yangın kontrol altına alındı,https://www.trthaber.comhttps://www.trthaber.com/haber/turkiye/elazigdaki-yangin-kontrol-altina-alindi-872289.html
06:03Venezuela X'i kapatıyor,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/venezuela-xi-kapatiyor-872288.html
05:59Soykırımcı İsrail'in Gazze'ye saldırıları devam ediyor,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/soykirimci-israilin-gazzeye-saldirilari-devam-ediyor-872287.html
Baraj kapakları açılınca suda mahsur kaldılar,https://www.trthaber.comhttps://www.trthaber.com/haber/turkiye/adiyamanda-suda-mahsur-kalan-16-kisi-kurtarildi-872293.html
